Empresa,Año,Mes,Numero Semana,Total Km Prog_Semana,Total Km Ejecut_Semana,Total Puntos_Semana,ICO,ICK
A,2019,7,27,1308494.97,899754.43,5195,57.74,68.76
A,2019,7,28,1475379.88,980945.84,4925,50.21,66.49
A,2019,7,29,1483353.09,954996.62,5595,58.59,64.38
A,2019,7,30,1484716.39,976425.61,5505,56.38,65.77
A,2019,8,31,1483737.82,977606.94,5800,59.33,65.89
A,2019,8,32,1365495.35,932323.38,5095,54.65,68.28
A,2019,8,33,1507552.81,990965.16,5675,57.27,65.73
A,2019,8,34,1365178.64,933747.63,5265,56.39,68.40
A,2019,8,35,1506106.02,1010967.47,5390,53.32,67.12
A,2019,9,36,1503098.07,1012233.43,6340,62.63,67.34
A,2019,9,37,1495105.28,1009515.34,5445,53.94,67.52
A,2019,9,38,1495357.14,996672.98,5885,59.05,66.65
A,2019,9,39,1488851.25,998648.15,5850,58.58,67.08
A,2019,10,40,1488851.25,969305.87,6905,71.24,65.10
A,2019,10,41,1494375.33,1034839.88,7440,71.90,69.25
A,2019,10,42,1353409.61,936361.57,5980,63.86,69.19
A,2019,10,43,1489149.13,994697.45,6440,64.74,66.80
A,2019,11,44,1489201.90,993523.73,6835,68.80,66.72
A,2019,11,45,1342628.23,943424.71,5020,53.21,70.27
A,2019,11,46,1342388.04,919865.53,5835,63.43,68.52
A,2019,11,47,1491232.05,538440.32,5425,100.75,36.11
A,2019,11,48,1316675.01,938414.98,3000,31.97,71.27
A,2019,12,49,1292420.98,917961.44,3095,33.72,71.03
A,2019,12,50,1309810.02,913747.07,5110,55.92,69.76
A,2019,12,51,1305980.23,869963.94,6005,69.03,66.61
A,2019,12,52,1092353.69,825234.70,4575,55.44,75.55
A,2020,1,1,1112277.20,889435.98,4120,46.32,79.97
A,2020,1,2,1121495.46,903213.36,5045,55.86,80.54
A,2020,1,3,1338766.34,990769.87,5830,58.84,74.01
A,2020,1,4,1336503.96,990386.34,5690,57.45,74.10
A,2020,2,5,1433021.34,1002424.23,7100,70.83,69.95
A,2020,2,6,1395764.53,953080.69,5590,58.65,68.28
A,2020,2,7,1365238.55,949119.98,6005,63.27,69.52
A,2020,2,8,1355108.53,942217.27,5305,56.30,69.53
A,2020,2,9,1352921.81,936781.28,5060,54.01,69.24
A,2020,3,10,1348741.03,956913.04,5275,55.13,70.95
A,2020,3,11,1352527.09,971831.28,4260,43.83,71.85
A,2020,3,12,1200384.39,909487.41,3570,39.25,75.77
A,2020,3,13,676109.62,652957.66,1845,28.26,96.58
A,2020,4,14,708575.66,692475.28,1810,26.14,97.73
A,2020,4,15,680808.77,667844.05,1235,18.49,98.10
A,2020,4,16,731257.05,704532.51,1510,21.43,96.35
A,2020,4,17,726539.40,702545.77,1330,18.93,96.70
A,2020,5,18,1054659.28,1027405.88,1175,11.44,97.42
A,2020,5,19,1150034.71,1122809.04,1315,11.71,97.63
A,2020,5,20,1159949.32,1133759.77,910,8.03,97.74
A,2020,5,21,1191832.62,1162795.16,845,7.27,97.56
A,2020,5,22,1098555.90,1070217.87,185,1.73,97.42
A,2020,6,23,1207038.80,1171354.38,435,3.71,97.04
A,2020,6,24,1207343.01,1172188.59,285,2.43,97.09
